,breed,color,id,male,species,name
18379,Domestic Shorthair Mix,Black,A688783,1.0,Cat,None
18392,Domestic Medium Hair Mix,Black,A688793,,Cat,None
18393,Snowshoe Mix,Gray/White,A685330,1.0,Cat,None
18397,Domestic Shorthair Mix,Blue,A688808,1.0,Cat,None
18398,Domestic Shorthair Mix,Blue,A688809,1.0,Cat,None
18403,Domestic Medium Hair Mix,Brown Tabby,A688811,0.0,Cat,None
18404,Domestic Medium Hair Mix,Brown Tabby,A688812,1.0,Cat,Tigger
18408,Domestic Shorthair Mix,Black,A688815,1.0,Cat,None
18409,Domestic Shorthair Mix,Blue/White,A688816,1.0,Cat,None
18419,Domestic Shorthair Mix,Black Smoke/White,A688823,1.0,Cat,Smo-Yan
18425,Domestic Shorthair Mix,White/Blue,A541057,1.0,Cat,Mr Pibbs
18426,Domestic Shorthair Mix,Black,A688830,,Cat,None
18427,Domestic Shorthair Mix,Black,A688832,0.0,Cat,None
18432,Domestic Medium Hair Mix,Black/White,A688839,1.0,Cat,Wilson
18434,Domestic Shorthair Mix,Black/White,A688841,0.0,Cat,None
18437,Domestic Shorthair Mix,Silver Tabby,A688843,1.0,Cat,Jesse
18438,Devon Rex Mix,Apricot,A688844,1.0,Cat,Cider
18458,Domestic Shorthair Mix,Black,A688871,0.0,Cat,Pandora
18459,Domestic Shorthair Mix,Brown Tabby,A688878,1.0,Cat,Jd
18460,Snowshoe Mix,Seal Point,A688879,0.0,Cat,None
18462,Domestic Shorthair Mix,Tortie,A688877,0.0,Cat,None
18465,Domestic Medium Hair Mix,Brown Tabby,A688882,0.0,Cat,None
18467,Domestic Shorthair Mix,Black/White,A688885,0.0,Cat,Izzy
18471,Domestic Shorthair Mix,Brown Tabby,A688903,1.0,Cat,Henry
18476,Domestic Shorthair Mix,Gray Tabby/Black,A688907,,Cat,None
18481,Domestic Shorthair Mix,Orange Tabby,A688912,0.0,Cat,None
18484,Domestic Shorthair Mix,Brown Tabby,A688915,,Cat,None
18487,Domestic Shorthair Mix,Calico,A688921,,Cat,None
18488,Domestic Shorthair Mix,Cream Tabby,A688922,,Cat,None
18489,Domestic Shorthair Mix,Cream Tabby,A688923,,Cat,None
18490,Domestic Shorthair Mix,White/Brown Tabby,A688918,0.0,Cat,Storm
18492,Domestic Shorthair Mix,Brown Tabby,A688929,1.0,Cat,None
18493,Domestic Medium Hair Mix,White/Black,A688920,1.0,Cat,None
18494,Domestic Shorthair Mix,Calico,A688924,0.0,Cat,None
18495,Domestic Shorthair Mix,Calico,A688925,0.0,Cat,None
18496,Domestic Shorthair Mix,Calico,A688926,0.0,Cat,None
18497,Domestic Shorthair Mix,Brown Tabby,A688927,,Cat,None
18498,Domestic Shorthair Mix,Orange Tabby,A688928,,Cat,None
18501,Domestic Longhair Mix,Calico,A688932,0.0,Cat,Adorable
18505,Domestic Shorthair Mix,Blue,A688939,1.0,Cat,None
18506,Domestic Shorthair Mix,Blue,A688940,1.0,Cat,None
18507,Domestic Shorthair Mix,Brown Tabby,A688941,1.0,Cat,None
18508,Domestic Shorthair Mix,Brown Tabby,A688942,1.0,Cat,None
18509,Angora Mix,White,A688944,0.0,Cat,None
18515,Domestic Shorthair Mix,Seal Point,A688952,0.0,Cat,None
18517,Domestic Shorthair Mix,Blue,A688956,1.0,Cat,None
18520,Domestic Shorthair Mix,Brown Tabby,A688965,0.0,Cat,None
18521,Domestic Shorthair Mix,Brown Tabby/White,A688967,1.0,Cat,None
18522,Domestic Shorthair Mix,Blue Tabby,A688968,1.0,Cat,Walker
18523,Domestic Shorthair Mix,Blue Tabby,A688969,1.0,Cat,Asher
18524,Domestic Shorthair Mix,Brown Tabby,A688966,1.0,Cat,Geo
18525,Domestic Shorthair Mix,Brown Tabby,A688963,0.0,Cat,Josie
18526,Domestic Shorthair Mix,Brown Tabby,A688964,0.0,Cat,Linus
18531,Domestic Shorthair Mix,White,A688096,0.0,Cat,Khloe
18534,Siamese Mix,Seal Point,A688977,0.0,Cat,None
18535,Domestic Medium Hair Mix,Orange Tabby,A688979,0.0,Cat,None
18536,Domestic Longhair Mix,Calico/Black,A688980,0.0,Cat,None
18537,Domestic Medium Hair Mix,Orange Tabby,A688975,1.0,Cat,None
18538,Domestic Medium Hair Mix,Orange Tabby,A688976,1.0,Cat,None
18546,Domestic Shorthair Mix,Orange Tabby,A688994,1.0,Cat,None
18547,Domestic Shorthair Mix,Brown Tabby,A688995,0.0,Cat,None
18553,Domestic Shorthair Mix,Torbie,A689011,0.0,Cat,None
18554,Domestic Shorthair Mix,Tortie,A689012,0.0,Cat,None
18562,Domestic Shorthair Mix,Orange Tabby,A689019,1.0,Cat,He-Man
18569,Domestic Shorthair Mix,Blue Tabby,A689022,1.0,Cat,None
18570,Domestic Shorthair Mix,Calico,A689023,0.0,Cat,None
18571,Domestic Medium Hair Mix,Black/White,A689029,1.0,Cat,Frank
18572,Domestic Shorthair Mix,Black,A689030,1.0,Cat,Max
18573,Domestic Shorthair Mix,Brown Tabby,A689031,1.0,Cat,Memphis
18574,Domestic Shorthair Mix,Brown Tabby,A689032,1.0,Cat,Sammy
18578,Domestic Medium Hair Mix,Black/White,A689037,1.0,Cat,None
18579,Domestic Shorthair Mix,Orange Tabby,A689038,1.0,Cat,Trouble
18580,Domestic Shorthair Mix,Brown Tabby,A689040,0.0,Cat,None
18581,Domestic Shorthair Mix,Black,A689041,0.0,Cat,None
18582,Domestic Shorthair Mix,Black,A689042,0.0,Cat,None
18583,Domestic Shorthair Mix,Black,A689043,0.0,Cat,None
18584,Domestic Shorthair Mix,Black,A689044,1.0,Cat,None
18585,Domestic Shorthair Mix,Black,A689045,1.0,Cat,None
18586,Domestic Shorthair Mix,Black,A689046,,Cat,None
18587,Domestic Shorthair Mix,Blue,A689047,1.0,Cat,Sandro
18590,Domestic Medium Hair,Blue Tabby/White,A689049,0.0,Cat,Joanie
18591,Domestic Shorthair Mix,Brown Tabby,A689050,0.0,Cat,Cherie
18592,Domestic Shorthair Mix,White/Orange Tabby,A689052,1.0,Cat,None
18593,Domestic Shorthair Mix,White/Black,A689054,0.0,Cat,Chappie
18596,Domestic Shorthair Mix,Brown Tabby,A689060,,Cat,None
18597,Domestic Shorthair Mix,Brown Tabby,A689059,0.0,Cat,None
18605,Domestic Shorthair Mix,Black Tabby,A689068,1.0,Cat,Monty
18606,Domestic Shorthair Mix,Orange Tabby,A651258,1.0,Cat,Ethan
18608,Domestic Shorthair,Tortie,A689069,0.0,Cat,Wilma
18609,Domestic Shorthair Mix,Calico,A689071,0.0,Cat,None
18612,Siamese Mix,Tortie Point,A689075,0.0,Cat,None
18613,Domestic Shorthair Mix,Blue Tabby,A689077,1.0,Cat,None
18614,Domestic Shorthair Mix,Blue Tabby/White,A689076,1.0,Cat,None
18615,Devon Rex,Orange Tabby,A689078,0.0,Cat,Autumn
