Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A664272,*Grace,10/01/2013,1:12PM,12005 Garden Grove Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Cairn Terrier Mix,Brown
A664273,Buffy,10/01/2013,1:32PM,Berkman Dr & Briarcliff Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund/Chihuahua Shorthair,Brown
A639030,Cate,10/01/2013,1:36PM,46Th And Ave G in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,German Shepherd Mix,Tan
A664253,Moose,10/01/2013,1:44PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Brown
A664274,Estrella,10/01/2013,1:48PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,8 years,Siberian Husky Mix,Buff
A658012,Lucio,10/01/2013,1:48PM,1505 Darold Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Red
A664275,Mcdermot,10/01/2013,2:12PM,4905 Alf in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Tricolor
A664277,*Pogo,10/01/2013,2:12PM,4905 Alf in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Chihuahua Shorthair Mix,White/Brown
A636021,Sera,10/01/2013,2:12PM,1156 W Cesar Chavez in Austin (TX),Public Assist,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Brown
A664280,Coco,10/01/2013,2:34PM,W Pflugerville Pkwy/Zola Ln in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,6 years,Miniature Poodle Mix,Apricot
A660220,Jade,10/01/2013,2:35PM,Austin (TX),Euthanasia Request,Injured,Dog,Spayed Female,1 year,Yorkshire Terrier/Miniature Poodle,Gray
