,id,name,outcome_type,outcome_detail,species,age,breed,color,datetime,fixed,male
46,A688903,Henry,Return to Owner,None,Cat,6.0,Domestic Shorthair Mix,Brown Tabby,2014-10-02 10:49:00,1.0,1.0
47,A685699,Fuzz,Adoption,Foster,Cat,8.0,Domestic Shorthair Mix,Black,2014-10-02 11:02:00,1.0,0.0
48,A687574,Taffy,Transfer,Partner,Dog,3.0,Staffordshire Mix,Black Brindle/White,2014-10-02 11:15:00,1.0,0.0
49,A688767,Tiny Tim,Died,In Foster,Cat,0.0821917808219,Domestic Shorthair Mix,Black,2014-10-02 11:35:00,0.0,1.0
50,A688342,Mojo,Adoption,None,Cat,0.41095890411,Domestic Medium Hair Mix,Black,2014-10-02 11:36:00,1.0,0.0
51,A686337,Vega,Adoption,None,Dog,3.0,German Shepherd,Brown/Black,2014-10-02 12:14:00,0.0,0.0
52,A677853,Otto,Return to Owner,None,Dog,1.0,Pit Bull/Catahoula,White/Brown,2014-10-02 12:27:00,1.0,1.0
53,A688329,Exalibur,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Blue/White,2014-10-02 12:30:00,1.0,1.0
54,A688330,Mia,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Blue/White,2014-10-02 12:31:00,1.0,0.0
55,A688883,None,Euthanasia,Behavior,Dog,1.0,Pit Bull Mix,Tan/White,2014-10-02 12:48:00,0.0,1.0
56,A686103,Bernie,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Black/White,2014-10-02 13:18:00,1.0,1.0
57,A688700,None,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,White/Brown Tabby,2014-10-02 13:18:00,1.0,1.0
58,A689292,Sachi,Return to Owner,None,Dog,5.0,Dachshund Longhair Mix,Black/Tan,2014-10-02 13:55:00,1.0,1.0
59,A688931,None,Transfer,Partner,Dog,2.0,Dachshund Mix,Black/Tan,2014-10-02 14:06:00,1.0,1.0
60,A689245,Nala,Transfer,Partner,Dog,0.493150684932,Chihuahua Longhair Mix,White,2014-10-02 14:10:00,1.0,0.0
